Index,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12566,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000,19994781,19994781,FALSE,1379515715497.34,,1,,,,2026-02-25T22:08:00.000Z,68993.78970429051,51793903877.06667,24.3104,-0.26395333,7.52862113,4.01819754,-21.56902925,-21.24123843,-24.49697364,1379515715497.3435,57.8394,1448869583790.1,,2026-02-25T22:08:00.000Z,,,,,,10:26.6
1,1027,Ethereum,ETH,ethereum,11588,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem']",,120692321.10984947,120692321.10984947,TRUE,2.54414E+11,,2,,,,2026-02-25T22:08:00.000Z,2107.9556555784493,26659674320.32558,43.022,1.55041324,13.39088426,8.43278279,-27.96993388,-28.05554443,-30.45662465,254414060868.39746,10.6659,2.54414E+11,,2026-02-25T22:08:00.000Z,,,,,,10:26.6
2,825,Tether USDt,USDT,tether,171679,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,183624238441.84308,187939981262.8225,TRUE,187995639723.14,,3,,,,2026-02-25T22:07:00.000Z,1.0002961501855103,99694499757.80844,28.7095,0.00385813,0.02893718,0.06882756,0.13705126,0.10084201,0.03411648,183678618794.12183,7.7012,187995639723.14,,2026-02-25T22:07:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,10:26.6
3,52,XRP,XRP,xrp,1802,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",1E+11,61018583977,99985712847,FALSE,148197761604.01,,4,,,,2026-02-25T22:07:00.000Z,1.482189378704402,4077864661.523508,46.6589,0.9756253,9.2860585,4.29519106,-21.85446232,-20.38701421,-33.05730809,90441097074.292,3.7905,148218937870.44,,2026-02-25T22:07:00.000Z,,,,,,10:26.6
4,1839,BNB,BNB,bnb,3136,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",136358904.2,136358904.2,136358904.2,FALSE,86691651720,,5,,,,2026-02-25T22:07:00.000Z,635.7608420248462,2614582066.733943,48.2683,0.59197114,8.49755756,5.17015572,-27.44876781,-24.49386894,-29.07858578,86691651719.98929,3.6344,86691651720,,2026-02-25T22:07:00.000Z,,,,,,10:26.6
5,3408,USDC,USDC,usd-coin,37651,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,75331387385.69838,75331387385.69838,FALSE,75334211307,,6,60901219650,60903502632.75133,,2026-02-25T22:07:00.000Z,1.0000374866469741,14272836742.166483,15.316,0.01018677,0.00696153,-0.01651434,0.04427278,0.02807116,0.03365921,75334211306.82338,3.1568,75334211307,,2026-02-25T22:07:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,10:26.6
6,5426,Solana,SOL,solana,1090,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,568787849.9886742,621197828.3781875,TRUE,56088332645,,7,525236893.3,47423961004.44574,,2026-02-25T22:08:00.000Z,90.29061288228768,5512782781.815656,52.3762,0.6945079,14.28754807,11.05426018,-27.42313602,-27.43151851,-36.32918746,51356203575.47609,2.152,56088332645,,2026-02-25T22:08:00.000Z,,,,,,10:26.6
7,1958,TRON,TRX,tron,1302,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94737322761.9229,94737320743.5791,TRUE,27119907708,,8,94667886298,27100031108.785366,,2026-02-25T22:08:00.000Z,0.28626424618117624,606712230.0884539,20.0059,0.21671855,0.9754795,2.59139692,-3.45399196,0.87285282,2.15325252,27119908285.664646,1.1371,27119907708,,2026-02-25T22:08:00.000Z,,,,,,10:26.6
8,74,Dogecoin,DOGE,dogecoin,1403,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168891023126.57907,168891023126.57907,TRUE,17807082784,,9,,,,2026-02-25T22:08:00.000Z,0.10543534200075982,1559454308.1885872,86.0317,1.1379892,14.53815746,7.05994581,-13.92163941,-14.65372147,-31.39949597,17807082784.209103,0.7463,17807082784,,2026-02-25T22:08:00.000Z,,,,,,10:26.6
9,2010,Cardano,ADA,cardano,1684,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000,36074136490.46285,44994843280.28874,FALSE,13936236466,,10,37997904336,11769077107.993618,,2026-02-25T22:08:00.000Z,0.309729636769556,1000667502.0093447,163.3213,0.73984019,19.12176167,13.19946892,-12.29338102,-14.88797301,-28.96589155,11173229191.966446,0.4685,13937833655,,2026-02-25T22:08:00.000Z,,,,,,10:26.6
